auteur,citation,oeuvre,source
Victor Hugo,"Il vient une heure où protester ne suffit plus : après la philosophie, il faut l’action.",Les Misérables,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,La vie n’est qu’une longue perte de tout ce qu’on aime.,L’Homme qui rit,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,"Dieu n’avait fait que l’eau, mais l’homme a fait le vin.",Les Contemplations,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,"On a voulu, à tort, faire de la bourgeoisie une classe. La bourgeoisie est tout simplement la portion contentée du peuple.",Les Misérables,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,"Faire rire, c’est faire oublier. Quel bienfaiteur sur la terre, qu’un distributeur d’oubli !",L’Homme qui rit,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,"Mais si l’on ne peut pardonner, cela ne vaut pas la peine de vaincre.",Quatre-vingt-treize,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,"Etre contesté, c’est être constaté.",Tas de pierres,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,On passe une moitié de sa vie à attendre ceux qu’on aimera et l’autre moitié à quitter ceux qu’on aime.,Tas de pierres,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,"L’avenir, fantôme aux mains vides, qui promet tout et qui n’a rien !",Les Voix intérieures,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,Nul n’ira jusqu’au fond du rire d’un enfant.,Les petits,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,"Tout ce qui est mort comme fait, est vivant comme enseignement.",Notre-Dame de Paris,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,De quelque mot profond tout homme est le disciple.,Les Contemplations,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,Presque personne n’est assez pur de péchés pour ne pas mériter un châtiment.,La Légende des siècles,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,La femme a une puissance singulière qui se compose de la réalité de la force et de l’apparence de la faiblesse.,Post-scriptum de ma vie,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,"Lorsque l’enfant paraît, le cercle de famille applaudit à grands cris.",Les Feuilles d’automne,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,Tout homme est un livre où Dieu lui-même écrit.,Les Contemplations,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,Le scepticisme est la carie de l’intelligence.,Les Misérables,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,Chaque homme dans sa nuit s’en va vers sa lumière.,Les Contemplations,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,"L’eau qui ne court pas fait un marais, l’esprit qui ne travaille pas fait un sot.",Tas de pierres,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,Il y a des gens qui ont une bibliothèque comme les eunuques un harem.,Fragments,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,Tout ce qui augmente la liberté augmente la responsabilité.,Paris et Rome,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,N’imitez rien ni personne. Un lion qui copie un lion devient un singe.,Tas de pierres,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,"Au fond, Dieu veut que l’homme désobéisse. Désobéir, c’est chercher.",Tas de pierres,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,"La mélancolie, c’est le bonheur d’être triste.",Les Travailleurs de la mer,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,"Les guerres ont toutes sortes de prétextes, mais n’ont jamais qu’une cause : l’armée. Otez l’armée, vous ôtez la guerre.",Actes et paroles,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,"La musique, c’est du bruit qui pense.",Fragments,http://evene.lefigaro.fr/citations/victor-hugo
Victor Hugo,"Bien lire l’univers, c’est bien lire la vie.",Les Contemplations,http://evene.lefigaro.fr/citations/victor-hugo
